"id","title","description","availability","inventory","condition","price","sale_price","link","image_link","gtin","is_bundle","age_group","google_product_category"
"6720426967130","Discovery - LP","Discovery's first and only studio album is here on Opaque Pink vinyl.","in stock",29,"new","41.00 USD","","https://www.vinylmeplease.com/products/discovery-lp","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/LP_vinyl_store.jpg?v=1652886906","617308030655","no","adult","543523"
"6544678912090","The Antlers - Green To Gold","Green to Gold is the first album in seven years from the New York indie rock outfit The Antlers. We have it on Opaque Sunburst vinyl.","in stock",190,"new","38.00 USD","","https://www.vinylmeplease.com/products/the-antlers-green-to-gold","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/green_to_gold_vinyl_store.jpg?v=1631041254","810143932607","no","adult","543523"
"6732615254106","Henry Franklin - The Skipper","Henry ""The Skipper"" Franklin's 1972 debut album is available on Opaque Dark Grey Vinyl.","in stock",20,"new","38.00 USD","","https://www.vinylmeplease.com/products/henry-franklin-the-skipper","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/the_skipper_store.jpg?v=1653579069","848064014690","no","adult","543523"
"6697217065050","Various Artists - Something Borrowed, Something New: A Tribute to John Anderson","Something Borrowed, Something New is a tribute album to the country singer John Anderson. We have it on Bloodshot vinyl.","in stock",27,"new","43.00 USD","","https://www.vinylmeplease.com/products/various-artists-something-borrowed-something-new-a-tribute-to-john-anderson","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/something_borrowed_something_new_store.jpg?v=1651670406","888072430648","no","adult","543523"
"6748741533786","The Format - Interventions and Lullabies","The reissue of The Format's Interventions and Lullabies is available on exclusive Blue with Yellow Splatter vinyl.","out of stock",0,"new","31.00 USD","","https://www.vinylmeplease.com/products/the-format-interventions-and-lullabies","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/Interventions_and_Lullabies_store.jpg?v=1678832681","617308046199","no","adult","543523"
"6732615319642","The Soul Searchers - Salt of the Earth","The reissue of The Soul Searchers' 1974 release Salt of the Earth is available on exclusive Opaque Blue vinyl.","in stock",334,"new","40.00 USD","","https://www.vinylmeplease.com/products/the-soul-searchers-salt-of-the-earth","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/salt_of_the_earth_store.jpg?v=1670355801","848064014782","no","adult","543523"
"4825919160410","Orquesta Akokán - 16 Rayos","16 Rayos is Orquesta Akokán's sophomore album. We have it on Coal Fire Orange vinyl.","in stock",22,"new","32.00 USD","","https://www.vinylmeplease.com/products/orquesta-akokan-16-rayos","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/16_rayos3458946.jpg?v=1629135526","823134996410","no","adult","543523"
"6768820748378","The Comedy Store - 50 Years of The Comedy Store","A story told through five albums and six LPs that captures the Store’s greatest comedians in each of its major milestone decades.","in stock",433,"new","229.00 USD","","https://www.vinylmeplease.com/products/50-years-of-the-comedy-store","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/cs_3d_render_1600x1600_fcb2ae04-bedb-448a-8401-9399f3023e85.jpg?v=1684170422","810143930122","no","adult","543523"
"1907805388890","Joey Dosik - Inside Voice","Joey Dosik writes human music for human beings. And boy does he write the hell out of it. Inside Voice comes on clear vinyl with an alternate gatefold color. This pressing is limited to 500 copies.","in stock",33,"new","24.00 USD","","https://www.vinylmeplease.com/products/joey-dosik-inside-voice","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/inside_voices_vinyl_store.jpg?v=1564071749","810143931723","no","adult","543523"
"6816471253082","Young Fathers - Heavy Heavy","Heavy Heavy by Young Fathers is available on exclusive Cool Gray vinyl.","in stock",44,"new","40.00 USD","","https://www.vinylmeplease.com/products/young-fathers-heavy-heavy","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/heavy_heavy_store_43cdf07d-6e81-4b20-afed-5f2454cc68cb.jpg?v=1666290120","5054429158007","no","adult","543523"
